"column","district","restaurantName","address","contactInfo","googlereviewlink","openingtime","latitude","longitude","ratingintotaloffive","ratingcategories","restauranttype","restaurantcoverphotourl"
"35","金雞母","台灣第一家鹽酥雞","251新北市淡水區北新路184巷43號","0937-978-365","https://reurl.cc/x7re31","星期一~星期日:16:00–00:30","25.1778637","121.4482349","3.9","3分或以上","炸物店","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E9%87%91%E9%9B%9E%E6%AF%8Dgithub/%E5%8F%B0%E7%81%A3%E7%AC%AC%E4%B8%80%E5%AE%B6%E9%B9%BD%E9%85%A5%E9%9B%9E/IMG_7550.PNG"
"36","金雞母","那間丼飯‧咖哩專賣所","251新北市淡水區北新路184巷52號1樓","(02) 226255815","https://reurl.cc/o7amYM","星期一~星期五:11:30–00:00/星期六、星期日:17:00–00:00","25.1776335","121.4483165","3.6","3分或以上","日式料理餐廳","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E9%87%91%E9%9B%9E%E6%AF%8Dgithub/%E9%82%A3%E9%96%93%20%E4%B8%BC%E9%A3%AF%E2%80%A7%E5%92%96%E5%93%A9%E5%B0%88%E8%B3%A3%E6%89%80/IMG_7603.PNG"
"37","金雞母","早食雞Eating Bar","251新北市淡水區北新路184巷106號1樓","0986-966-352","https://reurl.cc/jDnVmZ","星期一~星期日:08:30–14:30","25.177499","121.4477495","4.7","4.5分或以上","早午餐店","https://github.com/paulLamProgramming/foodmapimageinTamsui/blob/main/%E9%87%91%E9%9B%9E%E6%AF%8Dgithub/%E6%97%A9%E9%A3%9F%E9%9B%9EEating%20Bar/IMG_7534.PNG?raw=true"
"38","金雞母","南洋好食 Culinary Recipe","251新北市淡水區北新路184巷120號B2樓1樓","0909-266-138","https://reurl.cc/8jgYe7","星期一~星期五:11:30–15:00、17:00–20:30/星期六、星期日:休息","25.1774608","121.4476331","4.4","4分或以上","排餐餐廳","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E9%87%91%E9%9B%9E%E6%AF%8Dgithub/%E5%8D%97%E6%B4%8B%E5%A5%BD%E9%A3%9F%20Culinary%20Recipe/IMG_7527.PNG"
"39","金雞母","茶小二‧試嚐知","251新北市淡水區北新路184巷62號","(02) 226235267","https://reurl.cc/AANXXQ","星期一~星期五:11:00–20:00/星期六、星期日:休息","25.1775219","121.4484719","4.4","4分或以上","台式料理店","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E9%87%91%E9%9B%9E%E6%AF%8Dgithub2/%E8%8C%B6%E5%B0%8F%E4%BA%8C%E2%80%A7%E8%A9%A6%E5%9A%90%E7%9F%A5/IMG_7533.PNG"
"40","金雞母","The PIrate Bay 海盜灣漢堡","251新北市淡水區北新路184巷122號B1樓1樓","0909-696-500","https://reurl.cc/gDqNlQ","星期一~星期五:12:00–14:00、17:00–20:30/星期六、星期日:17:00–20:00","25.1774765","121.4475985","4.1","4分或以上","美式料理餐廳","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E9%87%91%E9%9B%9E%E6%AF%8Dgithub/The%20PIrate%20Bay%20%E6%B5%B7%E7%9B%9C%E7%81%A3%E6%BC%A2%E5%A0%A1/IMG_7679.PNG"
"41","水源街","鮮富洋食館","251新北市淡水區水源街二段118號","(02) 226255085","https://reurl.cc/658WzV","星期一~星期四:11:15-14:00、17:00-20:00/星期六、星期日:11:30-14:00、17:00-20:00/星期五:休息","25.1745279","121.4502435","4.6","4.5分或以上","義式料理餐廳","https://github.com/paulLamProgramming/foodmapimageinTamsui/blob/main/%E6%B0%B4%E6%BA%90%E8%A1%97github2/%E9%AE%AE%E5%AF%8C%E6%B4%8B%E9%A3%9F%E9%A4%A8/S__381673491.jpg?raw=true"
"42","水源街","初米小路","251新北市淡水區水源街二段74巷3號1樓","0226-210-156","https://reurl.cc/651rxb","星期一~星期五、星期日:11:00–14:00、17:00–19:30/星期六:休息","25.1740612","121.4488262","4.9","4.5分或以上","日式料理餐廳","https://github.com/paulLamProgramming/foodmapimageinTamsui/blob/main/%E6%B0%B4%E6%BA%90%E8%A1%97github/%E5%88%9D%E7%B1%B3%E5%B0%8F%E8%B7%AF/IMG_8170.PNG?raw=true"
"43","水源街","淡水烤大學-平價火烤吃到飽","251新北市淡水區水源街二段102號","0958-309-601","https://reurl.cc/RzNAM9","星期一~星期五:10:30-14:00 、17:00-21:30/星期六、星期日:17:00-21:30","25.1744755","121.4495942","4.2","4分或以上","火烤吃到飽餐廳","https://github.com/paulLamProgramming/foodmapimageinTamsui/blob/main/%E6%B0%B4%E6%BA%90%E8%A1%97github/%E6%B7%A1%E6%B0%B4%E7%83%A4%E5%A4%A7%E5%AD%B8-%E5%B9%B3%E5%83%B9%E7%81%AB%E7%83%A4%E5%90%83%E5%88%B0%E9%A3%BD/S__381780011.jpg?raw=true"
"44","水源街","滷味王","251新北市淡水區水源街二段108號","(02) 286311579","https://reurl.cc/WGnj97","星期一~星期日:18:00-2:00","25.1744755","121.4495942","4.2","4分或以上","滷味店","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E6%B0%B4%E6%BA%90%E8%A1%97github/%E6%BB%B7%E5%91%B3%E7%8E%8B/S__381657107.jpg"
